m,n,time
0,0,0.000002
0,1,0.000000
0,2,0.000000
0,3,0.000000
1,0,0.000000
1,1,0.000000
1,2,0.000000
1,3,0.000000
2,0,0.000000
2,1,0.000000
2,2,0.000001
2,3,0.000000
3,0,0.000001
3,1,0.000001
3,2,0.000004
3,3,0.000014
